2002 TPHC ,,,,,,,,,,,2012 TPHC ,,,,,,,,,,,,,,,,,,,,,,,
"Table 1.0: Dodoma Region: Total Population by Age in Five Years Age Groups, Sex and Residence",,,,,,,,,,,"Table 1.0: Dodoma Region: Total Population by Age in Five Years Age Groups, Sex and Residence",,,,,,,,,,,,,,,,,,,,,,,
Age,Total,,,Rural,,,Urban,,,,Total,,,Rural,,,Urban,,,,,,,,,,,,,,,,,
,Total,Male,Female,Total,Male,Female,Total,Male,Female,,Total,Male,Female,Total,Male,Female,Total,Male,Female,,,,,,,,,,,,,,,
9-May,"26,727","13,451","13,276","26,727","13,451","13,276",0,0,0,,"37,746","18,955","18,791","37,746","18,955","18,791",0,0,0,,,,,,,,,,,,,,,
14-Oct,"21,794","11,272","10,522","21,794","11,272","10,522",0,0,0,,"27,529","14,069","13,460","27,529","14,069","13,460",0,0,0,,,,,,,,,,,,,,,
15-19,"18,090","8,893","9,197","18,090","8,893","9,197",0,0,0,,"18,089","9,260","8,829","18,089","9,260","8,829",0,0,0,,,,,,,,,,,,,,,
20-24,"14,323","5,942","8,381","14,323","5,942","8,381",0,0,0,,"15,298","6,759","8,539","15,298","6,759","8,539",0,0,0,,,,,,,,,,,,,,,
25-29,"12,689","5,412","7,277","12,689","5,412","7,277",0,0,0,,"14,252","6,125","8,127","14,252","6,125","8,127",0,0,0,,,,,,,,,,,,,,,
30-34,"11,622","5,223","6,399","11,622","5,223","6,399",0,0,0,,"12,740","5,599","7,141","12,740","5,599","7,141",0,0,0,,,,,,,,,,,,,,,
35-39,"8,570","3,987","4,583","8,570","3,987","4,583",0,0,0,,"10,473","4,806","5,667","10,473","4,806","5,667",0,0,0,,,,,,,,,,,,,,,
40-44,"7,657","3,537","4,120","7,657","3,537","4,120",0,0,0,,"9,413","4,301","5,112","9,413","4,301","5,112",0,0,0,,,,,,,,,,,,,,,
45-49,"5,513","2,519","2,994","5,513","2,519","2,994",0,0,0,,"6,783","3,048","3,735","6,783","3,048","3,735",0,0,0,,,,,,,,,,,,,,,
50-54,"5,040","2,207","2,833","5,040","2,207","2,833",0,0,0,,"6,656","3,084","3,572","6,656","3,084","3,572",0,0,0,,,,,,,,,,,,,,,
55-59,"4,325","1,853","2,472","4,325","1,853","2,472",0,0,0,,"4,021","1,900","2,121","4,021","1,900","2,121",0,0,0,,,,,,,,,,,,,,,
60-64,"3,981","1,593","2,388","3,981","1,593","2,388",0,0,0,,"4,244","1,879","2,365","4,244","1,879","2,365",0,0,0,,,,,,,,,,,,,,,
65-69,"3,133","1,280","1,853","3,133","1,280","1,853",0,0,0,,"3,303","1,473","1,830","3,303","1,473","1,830",0,0,0,,,,,,,,,,,,,,,
70-74,"2,801","1,220","1,581","2,801","1,220","1,581",0,0,0,,"3,501","1,500","2,001","3,501","1,500","2,001",0,0,0,,,,,,,,,,,,,,,
75-79,"1,726",852,874,"1,726",852,874,0,0,0,,"2,255",965,"1,290","2,255",965,"1,290",0,0,0,,,,,,,,,,,,,,,
80+,"2,320",988,"1,332","2,320",988,"1,332",0,0,0,,"4,314","1,686","2,628","4,314","1,686","2,628",0,0,0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002 TPHC,,,,,,,,,,,2012 TPHC ,,,,,,,,,,,,,,,,,,,,,,,
"Table 1.7: Chemba District Council: Total Population by Five Years Age Groups, Sex and Residence",,,,,,,,,,,"Table 1.7: Chemba District Council: Total Population by Five Years Age Groups, Sex and Residence",,,,,,,,,,,,,,,,,,,,,,,
Age,Total,,,Rural,,,Urban,,,,Total,,,Rural,,,Urban,,,,,,,,,,,,,,,,,
,Total,Male,Female,Total,Male,Female,Total,Male,Female,,Total,Male,Female,Total,Male,Female,Total,Male,Female,,,,,,,,,,,,,,,
Total,"192,275","95,140","97,135","192,275","95,140","97,135",0,0,0,,"234,057","116,753","117,304","229,565","114,552","115,013","4,492","2,201","2,291",,,,,,,,,,,,,,,
0-4,"33,314","16,842","16,472","33,314","16,842","16,472",0,0,0,,"39,502","19,852","19,650","38,826","19,505","19,321",676,347,329,,,,,,,,,,,,,,,
9-May,"31,181","16,029","15,152","31,181","16,029","15,152",0,0,0,,"40,620","20,796","19,824","39,934","20,467","19,467",686,329,357,,,,,,,,,,,,,,,
14-Oct,"25,773","13,283","12,490","25,773","13,283","12,490",0,0,0,,"32,159","16,522","15,637","31,573","16,217","15,356",586,305,281,,,,,,,,,,,,,,,
15-19,"18,705","10,177","8,528","18,705","10,177","8,528",0,0,0,,"20,698","11,426","9,272","20,293","11,229","9,064",405,197,208,,,,,,,,,,,,,,,
20-24,"14,566","6,232","8,334","14,566","6,232","8,334",0,0,0,,"16,157","7,516","8,641","15,779","7,350","8,429",378,166,212,,,,,,,,,,,,,,,
25-29,"13,294","5,816","7,478","13,294","5,816","7,478",0,0,0,,"15,245","6,752","8,493","14,876","6,598","8,278",369,154,215,,,,,,,,,,,,,,,
30-34,"11,006","5,269","5,737","11,006","5,269","5,737",0,0,0,,"13,393","6,176","7,217","13,059","6,015","7,044",334,161,173,,,,,,,,,,,,,,,
35-39,"8,881","4,289","4,592","8,881","4,289","4,592",0,0,0,,"11,640","5,507","6,133","11,381","5,367","6,014",259,140,119,,,,,,,,,,,,,,,
40-44,"7,386","3,589","3,797","7,386","3,589","3,797",0,0,0,,"9,745","4,845","4,900","9,547","4,735","4,812",198,110,88,,,,,,,,,,,,,,,
45-49,"5,843","2,779","3,064","5,843","2,779","3,064",0,0,0,,"7,389","3,720","3,669","7,252","3,645","3,607",137,75,62,,,,,,,,,,,,,,,
50-54,"5,098","2,348","2,750","5,098","2,348","2,750",0,0,0,,"7,123","3,635","3,488","7,004","3,589","3,415",119,46,73,,,,,,,,,,,,,,,
55-59,"3,681","1,795","1,886","3,681","1,795","1,886",0,0,0,,"4,346","2,228","2,118","4,265","2,186","2,079",81,42,39,,,,,,,,,,,,,,,
60-64,"4,344","2,028","2,316","4,344","2,028","2,316",0,0,0,,"4,492","2,183","2,309","4,416","2,143","2,273",76,40,36,,,,,,,,,,,,,,,
65-69,"3,042","1,471","1,571","3,042","1,471","1,571",0,0,0,,"3,004","1,445","1,559","2,947","1,419","1,528",57,26,31,,,,,,,,,,,,,,,
70-74,"2,738","1,418","1,320","2,738","1,418","1,320",0,0,0,,"3,423","1,697","1,726","3,357","1,664","1,693",66,33,33,,,,,,,,,,,,,,,
75-79,"1,515",808,707,"1,515",808,707,0,0,0,,"1,859",940,919,"1,837",930,907,22,10,12,,,,,,,,,,,,,,,
80+,"1,908",967,941,"1,908",967,941,0,0,0,,"3,262","1,513","1,749","3,219","1,493","1,726",43,20,23,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002 TPHC,,,,,,,,,,,2012 TPHC,,,,,,,,,,,,,,,,,,,,,,,
"Table 2.0:  Arusha Region : Total Population by Five Years Age Groups, Sex and Residence",,,,,,,,,,,"Table 2.0:  Arusha Region : Total Population by Five Years Age Groups, Sex and Residence",,,,,,,,,,,,,,,,,,,,,,,
Age,Total,,,Rural,,,Urban,,,,Total,,,Rural,,,Urban,,,,,,,,,,,,,,,,,
,Total,Male,Female,Total,Male,Female,Total,Male,Female,,Total,Male,Female,Total,Male,Female,Total,Male,Female,,,,,,,,,,,,,,,
Total,"1,288,088","634,942","653,146","884,491","436,756","447,735","403,597","198,186","205,411",,"1,662,618","802,426","860,192","1,119,154","543,782","575,372","543,464","258,644","284,820",,,,,,,,,,,,,,,
0-4,"207,170","104,237","102,933","153,552","77,335","76,217","53,618","26,902","26,716",,"248,206","124,983","123,223","180,671","90,959","89,712","67,535","34,024","33,511",,,,,,,,,,,,,,,
9-May,"198,252","100,236","98,016","149,482","76,082","73,400","48,770","24,154","24,616",,"239,176","120,371","118,805","179,274","90,573","88,701","59,902","29,798","30,104",,,,,,,,,,,,,,,
14-Oct,"159,604","80,718","78,886","117,251","60,653","56,598","42,353","20,065","22,288",,"212,441","105,285","107,156","152,826","76,904","75,922","59,615","28,381","31,234",,,,,,,,,,,,,,,
15-19,"138,425","65,836","72,589","92,345","46,427","45,918","46,080","19,409","26,671",,"182,617","86,181","96,436","117,029","58,196","58,833","65,588","27,985","37,603",,,,,,,,,,,,,,,
20-24,"130,271","57,254","73,017","74,563","33,018","41,545","55,708","24,236","31,472",,"155,394","67,370","88,024","90,989","39,959","51,030","64,405","27,411","36,994",,,,,,,,,,,,,,,
25-29,"112,317","52,325","59,992","63,501","28,579","34,922","48,816","23,746","25,070",,"137,269","59,929","77,340","80,170","34,482","45,688","57,099","25,447","31,652",,,,,,,,,,,,,,,
30-34,"86,968","43,574","43,394","52,128","25,238","26,890","34,840","18,336","16,504",,"116,934","54,415","62,519","68,847","31,548","37,299","48,087","22,867","25,220",,,,,,,,,,,,,,,
35-39,"66,903","34,150","32,753","43,731","21,322","22,409","23,172","12,828","10,344",,"95,829","45,786","50,043","58,444","27,285","31,159","37,385","18,501","18,884",,,,,,,,,,,,,,,
40-44,"48,594","24,982","23,612","32,043","15,541","16,502","16,551","9,441","7,110",,"71,614","36,103","35,511","45,541","22,370","23,171","26,073","13,733","12,340",,,,,,,,,,,,,,,
45-49,"36,291","19,245","17,046","25,381","12,806","12,575","10,910","6,439","4,471",,"54,578","27,588","26,990","36,487","18,046","18,441","18,091","9,542","8,549",,,,,,,,,,,,,,,
50-54,"27,635","14,377","13,258","19,766","9,677","10,089","7,869","4,700","3,169",,"42,501","21,567","20,934","28,883","14,158","14,725","13,618","7,409","6,209",,,,,,,,,,,,,,,
55-59,"17,868","9,291","8,577","13,714","6,865","6,849","4,154","2,426","1,728",,"27,080","14,385","12,695","18,813","9,803","9,010","8,267","4,582","3,685",,,,,,,,,,,,,,,
60-64,"17,229","8,680","8,549","13,485","6,587","6,898","3,744","2,093","1,651",,"24,873","12,589","12,284","18,276","8,980","9,296","6,597","3,609","2,988",,,,,,,,,,,,,,,
65-69,"12,204","6,311","5,893","9,901","5,053","4,848","2,303","1,258","1,045",,"15,030","7,451","7,579","11,474","5,586","5,888","3,556","1,865","1,691",,,,,,,,,,,,,,,
70-74,"10,706","5,212","5,494","8,839","4,322","4,517","1,867",890,977,,"14,037","6,832","7,205","11,108","5,413","5,695","2,929","1,419","1,510",,,,,,,,,,,,,,,
75-79,"6,621","3,436","3,185","5,523","2,881","2,642","1,098",555,543,,"8,552","4,332","4,220","6,801","3,463","3,338","1,751",869,882,,,,,,,,,,,,,,,
80+,"11,030","5,078","5,952","9,286","4,370","4,916","1,744",708,"1,036",,"16,487","7,259","9,228","13,521","6,057","7,464","2,966","1,202","1,764",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002 TPHC,,,,,,,,,,,2012 TPHC,,,,,,,,,,,,,,,,,,,,,,,
"Table 2.1 : Monduli District Council: Total Population by Five Years Age Groups, Sex and Residence",,,,,,,,,,,"Table 2.1 : Monduli District Council: Total Population by Five Years Age Groups, Sex and Residence",,,,,,,,,,,,,,,,,,,,,,,
Age,Total,,,Rural,,,Urban,,,,Total,,,Rural,,,Urban,,,,,,,,,,,,,,,,,
,Total,Male,Female,Total,Male,Female,Total,Male,Female,,Total,Male,Female,Total,Male,Female,Total,Male,Female,,,,,,,,,,,,,,,
Total,"102,966","49,952","53,014","86,660","41,831","44,829","16,306","8,121","8,185",,"154,109","72,388","81,721","135,058","63,337","71,721","19,051","9,051","10,000",,,,,,,,,,,,,,,
0-4,"18,448","9,180","9,268","16,278","8,139","8,139","2,170","1,041","1,129",,"27,908","14,097","13,811","25,655","12,914","12,741","2,253","1,183","1,070",,,,,,,,,,,,,,,
9-May,"17,612","8,849","8,763","15,448","7,738","7,710","2,164","1,111","1,053",,"26,732","13,353","13,379","24,512","12,250","12,262","2,220","1,103","1,117",,,,,,,,,,,,,,,
14-Oct,"13,398","6,942","6,456","11,440","5,974","5,466","1,958",968,990,,"20,668","10,146","10,522","18,401","9,127","9,274","2,267","1,019","1,248",,,,,,,,,,,,,,,
15-19,"10,720","5,244","5,476","9,046","4,476","4,570","1,674",768,906,,"15,477","7,373","8,104","13,246","6,342","6,904","2,231","1,031","1,200",,,,,,,,,,,,,,,
20-24,"8,830","3,687","5,143","7,095","2,934","4,161","1,735",753,982,,"12,299","4,775","7,524","10,284","3,910","6,374","2,015",865,"1,150",,,,,,,,,,,,,,,
25-29,"7,679","3,321","4,358","6,072","2,532","3,540","1,607",789,818,,"11,035","4,365","6,670","9,250","3,570","5,680","1,785",795,990,,,,,,,,,,,,,,,
30-34,"6,284","2,897","3,387","4,927","2,186","2,741","1,357",711,646,,"8,951","3,766","5,185","7,530","3,099","4,431","1,421",667,754,,,,,,,,,,,,,,,
35-39,"5,109","2,328","2,781","4,174","1,833","2,341",935,495,440,,"7,333","3,053","4,280","6,137","2,505","3,632","1,196",548,648,,,,,,,,,,,,,,,
40-44,"3,823","1,835","1,988","3,060","1,431","1,629",763,404,359,,"6,048","2,782","3,266","5,131","2,345","2,786",917,437,480,,,,,,,,,,,,,,,
45-49,"2,914","1,554","1,360","2,392","1,272","1,120",522,282,240,,"4,610","2,284","2,326","3,905","1,932","1,973",705,352,353,,,,,,,,,,,,,,,
50-54,"2,108","1,057","1,051","1,688",830,858,420,227,193,,"3,628","1,808","1,820","3,006","1,489","1,517",622,319,303,,,,,,,,,,,,,,,
55-59,"1,357",711,646,"1,126",574,552,231,137,94,,"2,275","1,194","1,081","1,885","1,004",881,390,190,200,,,,,,,,,,,,,,,
60-64,"1,467",740,727,"1,188",577,611,279,163,116,,"2,077",962,"1,115","1,726",781,945,351,181,170,,,,,,,,,,,,,,,
65-69,964,506,458,800,408,392,164,98,66,,"1,350",662,688,"1,159",563,596,191,99,92,,,,,,,,,,,,,,,
70-74,877,425,452,751,352,399,126,73,53,,"1,317",641,676,"1,146",555,591,171,86,85,,,,,,,,,,,,,,,
75-79,519,289,230,441,241,200,78,48,30,,752,360,392,645,300,345,107,60,47,,,,,,,,,,,,,,,
80+,857,387,470,734,334,400,123,53,70,,"1,649",767,882,"1,440",651,789,209,116,93,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002 TPHC,,,,,,,,,,,2012 TPHC,,,,,,,,,,,,,,,,,,,,,,,
"Table 2.2 : Meru District Council : Total Population by Five Years Age Groups, Sex and Residence",,,,,,,,,,,"Table 2.2 : Meru District Council : Total Population by Five Years Age Groups, Sex and Residence",,,,,,,,,,,,,,,,,,,,,,,
Age,Total,,,Rural,,,Urban,,,,Total,,,Rural,,,Urban,,,,,,,,,,,,,,,,,
,Total,Male,Female,Total,Male,Female,Total,Male,Female,,Total,Male,Female,Total,Male,Female,Total,Male,Female,,,,,,,,,,,,,,,
Total,"231,399","115,102","116,297","203,662","101,459","102,203","27,737","13,643","14,094",,"263,145","128,808","134,337","225,185","110,917","114,268","37,960","17,891","20,069",,,,,,,,,,,,,,,
0-4,"34,437","17,455","16,982","30,730","15,577","15,153","3,707","1,878","1,829",,"31,993","16,225","15,768","27,347","13,868","13,479","4,646","2,357","2,289",,,,,,,,,,,,,,,
9-May,"34,747","17,571","17,176","31,265","15,783","15,482","3,482","1,788","1,694",,"35,743","18,107","17,636","31,444","15,930","15,514","4,299","2,177","2,122",,,,,,,,,,,,,,,
14-Oct,"31,052","15,736","15,316","27,892","14,214","13,678","3,160","1,522","1,638",,"35,353","17,529","17,824","31,001","15,493","15,508","4,352","2,036","2,316",,,,,,,,,,,,,,,
15-19,"24,577","12,405","12,172","21,552","11,053","10,499","3,025","1,352","1,673",,"28,804","14,151","14,653","24,391","12,198","12,193","4,413","1,953","2,460",,,,,,,,,,,,,,,
20-24,"21,578","9,808","11,770","18,066","8,252","9,814","3,512","1,556","1,956",,"21,965","10,033","11,932","17,920","8,360","9,560","4,045","1,673","2,372",,,,,,,,,,,,,,,
25-29,"18,411","8,585","9,826","15,458","7,198","8,260","2,953","1,387","1,566",,"19,683","8,809","10,874","16,074","7,225","8,849","3,609","1,584","2,025",,,,,,,,,,,,,,,
30-34,"14,786","7,374","7,412","12,475","6,216","6,259","2,311","1,158","1,153",,"18,150","8,576","9,574","14,955","7,081","7,874","3,195","1,495","1,700",,,,,,,,,,,,,,,
35-39,"11,827","6,110","5,717","10,223","5,271","4,952","1,604",839,765,,"16,074","7,928","8,146","13,511","6,678","6,833","2,563","1,250","1,313",,,,,,,,,,,,,,,
40-44,"9,167","4,604","4,563","7,950","3,969","3,981","1,217",635,582,,"12,367","6,265","6,102","10,452","5,327","5,125","1,915",938,977,,,,,,,,,,,,,,,
45-49,"7,106","3,635","3,471","6,320","3,188","3,132",786,447,339,,"10,080","5,061","5,019","8,702","4,373","4,329","1,378",688,690,,,,,,,,,,,,,,,
50-54,"5,921","3,023","2,898","5,276","2,670","2,606",645,353,292,,"8,595","4,205","4,390","7,495","3,678","3,817","1,100",527,573,,,,,,,,,,,,,,,
55-59,"4,030","1,970","2,060","3,681","1,770","1,911",349,200,149,,"5,837","2,998","2,839","5,144","2,623","2,521",693,375,318,,,,,,,,,,,,,,,
60-64,"3,738","1,848","1,890","3,434","1,673","1,761",304,175,129,,"5,555","2,788","2,767","4,981","2,496","2,485",574,292,282,,,,,,,,,,,,,,,
65-69,"3,135","1,616","1,519","2,905","1,489","1,416",230,127,103,,"3,599","1,785","1,814","3,223","1,594","1,629",376,191,185,,,,,,,,,,,,,,,
70-74,"2,583","1,284","1,299","2,397","1,183","1,214",186,101,85,,"3,227","1,562","1,665","2,937","1,433","1,504",290,129,161,,,,,,,,,,,,,,,
75-79,"1,614",811,803,"1,505",759,746,109,52,57,,"2,233","1,151","1,082","2,049","1,059",990,184,92,92,,,,,,,,,,,,,,,
80+,"2,690","1,267","1,423","2,533","1,194","1,339",157,73,84,,"3,887","1,635","2,252","3,559","1,501","2,058",328,134,194,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002 TPHC,,,,,,,,,,,2012 TPHC,,,,,,,,,,,,,,,,,,,,,,,
"Table 2.3:  Arusha City Council : Total Population by Five Years Age Groups, Sex and Residence",,,,,,,,,,,"Table 2.3:  Arusha City Council : Total Population by Years Age Groups, Sex and Residence",,,,,,,,,,,,,,,,,,,,,,,
Age,Total,,,Rural,,,Urban,,,,Total,,,Rural,,,Urban,,,,,,,,,,,,,,,,,
,Total,Male,Female,Total,Male,Female,Total,Male,Female,,Total,Male,Female,Total,Male,Female,Total,Male,Female,,,,,,,,,,,,,,,
Total,"313,004","154,427","158,577","35,168","17,746","17,422","277,836","136,681","141,155",,"406,600","193,551","213,049",0,0,0,"406,600","193,551","213,049",,,,,,,,,,,,,,,
0-4,"41,580","20,988","20,592","5,454","2,758","2,696","36,126","18,230","17,896",,"50,268","25,338","24,930",0,0,0,"50,268","25,338","24,930",,,,,,,,,,,,,,,
9-May,"38,373","18,980","19,393","5,339","2,634","2,705","33,034","16,346","16,688",,"44,834","22,239","22,595",0,0,0,"44,834","22,239","22,595",,,,,,,,,,,,,,,
14-Oct,"33,543","15,987","17,556","4,720","2,360","2,360","28,823","13,627","15,196",,"44,613","21,271","23,342",0,0,0,"44,613","21,271","23,342",,,,,,,,,,,,,,,
15-19,"36,368","15,344","21,024","3,797","1,891","1,906","32,571","13,453","19,118",,"49,481","20,955","28,526",0,0,0,"49,481","20,955","28,526",,,,,,,,,,,,,,,
20-24,"42,682","18,898","23,784","3,504","1,694","1,810","39,178","17,204","21,974",,"48,281","20,564","27,717",0,0,0,"48,281","20,564","27,717",,,,,,,,,,,,,,,
25-29,"37,007","18,249","18,758","2,930","1,537","1,393","34,077","16,712","17,365",,"42,700","19,072","23,628",0,0,0,"42,700","19,072","23,628",,,,,,,,,,,,,,,
30-34,"26,097","13,726","12,371","2,248","1,181","1,067","23,849","12,545","11,304",,"36,022","17,084","18,938",0,0,0,"36,022","17,084","18,938",,,,,,,,,,,,,,,
35-39,"18,005","9,942","8,063","1,892",982,910,"16,113","8,960","7,153",,"28,213","14,006","14,207",0,0,0,"28,213","14,006","14,207",,,,,,,,,,,,,,,
40-44,"12,859","7,380","5,479","1,379",746,633,"11,480","6,634","4,846",,"19,501","10,339","9,162",0,0,0,"19,501","10,339","9,162",,,,,,,,,,,,,,,
45-49,"8,595","5,119","3,476","1,005",549,456,"7,590","4,570","3,020",,"13,529","7,177","6,352",0,0,0,"13,529","7,177","6,352",,,,,,,,,,,,,,,
50-54,"6,165","3,676","2,489",748,383,365,"5,417","3,293","2,124",,"10,144","5,599","4,545",0,0,0,"10,144","5,599","4,545",,,,,,,,,,,,,,,
55-59,"3,334","1,889","1,445",559,265,294,"2,775","1,624","1,151",,"6,152","3,416","2,736",0,0,0,"6,152","3,416","2,736",,,,,,,,,,,,,,,
60-64,"2,926","1,630","1,296",449,231,218,"2,477","1,399","1,078",,"4,890","2,711","2,179",0,0,0,"4,890","2,711","2,179",,,,,,,,,,,,,,,
65-69,"1,770",948,822,311,164,147,"1,459",784,675,,"2,605","1,365","1,240",0,0,0,"2,605","1,365","1,240",,,,,,,,,,,,,,,
70-74,"1,448",675,773,290,124,166,"1,158",551,607,,"2,105","1,008","1,097",0,0,0,"2,105","1,008","1,097",,,,,,,,,,,,,,,
75-79,812,405,407,168,86,82,644,319,325,,"1,243",615,628,0,0,0,"1,243",615,628,,,,,,,,,,,,,,,
80+,"1,440",591,849,375,161,214,"1,065",430,635,,"2,019",792,"1,227",0,0,0,"2,019",792,"1,227",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002 TPHC,,,,,,,,,,,2012 TPHC,,,,,,,,,,,,,,,,,,,,,,,
"Table 2.4: Karatu District Council  : Total Population by Five Years Age Groups, Sex and Residence",,,,,,,,,,,"Table 2.4: Karatu District Council  : Total Population by Five Years Age Groups, Sex and Residence",,,,,,,,,,,,,,,,,,,,,,,
Age,Total,,,Rural,,,Urban,,,,Total,,,Rural,,,Urban,,,,,,,,,,,,,,,,,
,Total,Male,Female,Total,Male,Female,Total,Male,Female,,Total,Male,Female,Total,Male,Female,Total,Male,Female,,,,,,,,,,,,,,,
Total,"177,951","92,576","85,375","168,514","87,975","80,539","9,437","4,601","4,836",,"225,739","115,181","110,558","211,629","108,653","102,976","14,110","6,528","7,582",,,,,,,,,,,,,,,
0-4,"28,772","14,723","14,049","27,389","14,036","13,353","1,383",687,696,,"33,632","17,071","16,561","31,799","16,185","15,614","1,833",886,947,,,,,,,,,,,,,,,
9-May,"27,857","14,352","13,505","26,662","13,774","12,888","1,195",578,617,,"32,547","16,585","15,962","31,170","15,914","15,256","1,377",671,706,,,,,,,,,,,,,,,
14-Oct,"23,849","12,272","11,577","22,909","11,843","11,066",940,429,511,,"31,048","15,798","15,250","29,663","15,152","14,511","1,385",646,739,,,,,,,,,,,,,,,
15-19,"17,954","9,561","8,393","17,129","9,174","7,955",825,387,438,,"23,860","12,476","11,384","22,098","11,773","10,325","1,762",703,"1,059",,,,,,,,,,,,,,,
20-24,"16,271","8,261","8,010","14,996","7,727","7,269","1,275",534,741,,"19,696","9,936","9,760","17,824","9,118","8,706","1,872",818,"1,054",,,,,,,,,,,,,,,
25-29,"13,890","7,266","6,624","12,759","6,760","5,999","1,131",506,625,,"15,752","7,733","8,019","14,176","7,058","7,118","1,576",675,901,,,,,,,,,,,,,,,
30-34,"11,921","6,457","5,464","11,011","5,974","5,037",910,483,427,,"14,855","7,526","7,329","13,597","6,955","6,642","1,258",571,687,,,,,,,,,,,,,,,
35-39,"9,312","4,975","4,337","8,735","4,654","4,081",577,321,256,,"12,523","6,487","6,036","11,573","6,037","5,536",950,450,500,,,,,,,,,,,,,,,
40-44,"6,647","3,552","3,095","6,242","3,326","2,916",405,226,179,,"10,511","5,462","5,049","9,826","5,105","4,721",685,357,328,,,,,,,,,,,,,,,
45-49,"4,951","2,523","2,428","4,715","2,385","2,330",236,138,98,,"8,386","4,393","3,993","7,934","4,156","3,778",452,237,215,,,,,,,,,,,,,,,
50-54,"4,059","2,083","1,976","3,888","1,974","1,914",171,109,62,,"6,212","3,292","2,920","5,870","3,108","2,762",342,184,158,,,,,,,,,,,,,,,
55-59,"2,820","1,530","1,290","2,715","1,463","1,252",105,67,38,,"3,744","1,959","1,785","3,569","1,862","1,707",175,97,78,,,,,,,,,,,,,,,
60-64,"2,723","1,411","1,312","2,620","1,355","1,265",103,56,47,,"3,864","1,944","1,920","3,718","1,858","1,860",146,86,60,,,,,,,,,,,,,,,
65-69,"1,933","1,035",898,"1,884","1,009",875,49,26,23,,"2,458","1,219","1,239","2,374","1,166","1,208",84,53,31,,,,,,,,,,,,,,,
70-74,"1,720",921,799,"1,671",898,773,49,23,26,,"2,352","1,199","1,153","2,269","1,151","1,118",83,48,35,,,,,,,,,,,,,,,
75-79,"1,192",672,520,"1,169",661,508,23,11,12,,"1,350",702,648,"1,317",690,627,33,12,21,,,,,,,,,,,,,,,
80+,"2,080",982,"1,098","2,020",962,"1,058",60,20,40,,"2,949","1,399","1,550","2,852","1,365","1,487",97,34,63,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002 TPHC,,,,,,,,,,,2012 TPHC,,,,,,,,,,,,,,,,,,,,,,,
"Table 2.5:  Ngorongoro District Council : Total Population by Five Years Age Groups, Sex and Residence",,,,,,,,,,,"Table 2.5:  Ngorongoro District Council : Total Population by Five Years Age Groups, Sex and Residence",,,,,,,,,,,,,,,,,,,,,,,
Age,Total,,,Rural,,,Urban,,,,Total,,,Rural,,,Urban,,,,,,,,,,,,,,,,,
,Total,Male,Female,Total,Male,Female,Total,Male,Female,,Total,Male,Female,Total,Male,Female,Total,Male,Female,,,,,,,,,,,,,,,
Total,"129,362","62,689","66,673","122,838","59,382","63,456","6,524","3,307","3,217",,"172,313","81,315","90,998","164,323","77,391","86,932","7,990","3,924","4,066",,,,,,,,,,,,,,,
0-4,"26,323","13,157","13,166","25,440","12,709","12,731",883,448,435,,"35,096","17,426","17,670","34,055","16,941","17,114","1,041",485,556,,,,,,,,,,,,,,,
9-May,"24,498","12,536","11,962","23,590","12,093","11,497",908,443,465,,"32,149","16,196","15,953","31,186","15,712","15,474",963,484,479,,,,,,,,,,,,,,,
14-Oct,"14,703","8,091","6,612","13,889","7,707","6,182",814,384,430,,"22,551","11,610","10,941","21,580","11,128","10,452",971,482,489,,,,,,,,,,,,,,,
15-19,"12,459","6,112","6,347","11,820","5,818","6,002",639,294,345,,"15,539","7,775","7,764","14,604","7,323","7,281",935,452,483,,,,,,,,,,,,,,,
20-24,"10,161","3,992","6,169","9,469","3,690","5,779",692,302,390,,"12,823","4,815","8,008","11,966","4,433","7,533",857,382,475,,,,,,,,,,,,,,,
