2002 TPHC ,,,,,,,,,,,2012 TPHC ,,,,,,,,,,,,,,,,,,,,,,,
"Table 1.0: Dodoma Region: Total Population by Age in Five Years Age Groups, Sex and Residence",,,,,,,,,,,"Table 1.0: Dodoma Region: Total Population by Age in Five Years Age Groups, Sex and Residence",,,,,,,,,,,,,,,,,,,,,,,
Age,Total,,,Rural,,,Urban,,,,Total,,,Rural,,,Urban,,,,,,,,,,,,,,,,,
,Total,Male,Female,Total,Male,Female,Total,Male,Female,,Total,Male,Female,Total,Male,Female,Total,Male,Female,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002 TPHC,,,,,,,,,,,2012 TPHC ,,,,,,,,,,,,,,,,,,,,,,,
"Table 1.5: Dodoma Municipal Council : Total Population by Five Years Age Groups, Sex and Residence",,,,,,,,,,,"Table 1.5: Dodoma Municipal Council : Total Population by Five Years Age Groups, Sex and Residence",,,,,,,,,,,,,,,,,,,,,,,
Age,Total,,,Rural,,,Urban,,,,Total,,,Rural,,,Urban,,,,,,,,,,,,,,,,,
,Total,Male,Female,Total,Male,Female,Total,Male,Female,,Total,Male,Female,Total,Male,Female,Total,Male,Female,,,,,,,,,,,,,,,
Total,"322,811","156,486","166,325","173,631","83,468","90,163","149,180","73,018","76,162",,"398,798","191,564","207,234","192,552","92,816","99,736","206,246","98,748","107,498",,,,,,,,,,,,,,,
0-4,"44,562","22,313","22,249","26,424","13,139","13,285","18,138","9,174","8,964",,"52,944","26,519","26,425","28,822","14,375","14,447","24,122","12,144","11,978",,,,,,,,,,,,,,,
5-9,"43,581","21,784","21,797","25,176","12,751","12,425","18,405","9,033","9,372",,"52,796","26,419","26,377","29,848","14,992","14,856","22,948","11,427","11,521",,,,,,,,,,,,,,,
10-14,"40,135","19,698","20,437","22,033","11,082","10,951","18,102","8,616","9,486",,"47,372","23,108","24,264","24,183","12,133","12,050","23,189","10,975","12,214",,,,,,,,,,,,,,,
15-19,"37,187","17,724","19,463","17,874","9,116","8,758","19,313","8,608","10,705",,"45,314","21,482","23,832","18,037","9,252","8,785","27,277","12,230","15,047",,,,,,,,,,,,,,,
20-24,"32,739","14,953","17,786","15,137","6,932","8,205","17,602","8,021","9,581",,"41,326","19,111","22,215","15,721","7,304","8,417","25,605","11,807","13,798",,,,,,,,,,,,,,,
25-29,"26,699","12,432","14,267","12,296","5,514","6,782","14,403","6,918","7,485",,"33,375","15,327","18,048","13,318","6,008","7,310","20,057","9,319","10,738",,,,,,,,,,,,,,,
30-34,"22,468","10,620","11,848","10,955","4,910","6,045","11,513","5,710","5,803",,"27,775","12,880","14,895","12,112","5,483","6,629","15,663","7,397","8,266",,,,,,,,,,,,,,,
35-39,"16,979","8,254","8,725","8,558","4,018","4,540","8,421","4,236","4,185",,"21,917","10,360","11,557","9,928","4,634","5,294","11,989","5,726","6,263",,,,,,,,,,,,,,,
40-44,"14,690","7,435","7,255","7,605","3,572","4,033","7,085","3,863","3,222",,"18,229","8,700","9,529","8,997","4,163","4,834","9,232","4,537","4,695",,,,,,,,,,,,,,,
45-49,"10,389","5,379","5,010","5,455","2,629","2,826","4,934","2,750","2,184",,"13,881","6,711","7,170","6,794","3,242","3,552","7,087","3,469","3,618",,,,,,,,,,,,,,,
50-54,"8,587","4,428","4,159","4,839","2,225","2,614","3,748","2,203","1,545",,"12,328","6,090","6,238","6,261","2,940","3,321","6,067","3,150","2,917",,,,,,,,,,,,,,,
55-59,"6,118","3,086","3,032","3,924","1,782","2,142","2,194","1,304",890,,"7,550","3,869","3,681","3,812","1,861","1,951","3,738","2,008","1,730",,,,,,,,,,,,,,,
60-64,"5,672","2,584","3,088","3,808","1,617","2,191","1,864",967,897,,"7,014","3,465","3,549","3,791","1,739","2,052","3,223","1,726","1,497",,,,,,,,,,,,,,,
65-69,"4,032","1,850","2,182","2,866","1,265","1,601","1,166",585,581,,"4,894","2,320","2,574","2,978","1,318","1,660","1,916","1,002",914,,,,,,,,,,,,,,,
70-74,"3,750","1,646","2,104","2,754","1,181","1,573",996,465,531,,"4,519","1,999","2,520","2,825","1,193","1,632","1,694",806,888,,,,,,,,,,,,,,,
75-79,"2,215","1,018","1,197","1,695",776,919,520,242,278,,"2,813","1,292","1,521","1,867",856,"1,011",946,436,510,,,,,,,,,,,,,,,
80+,"3,008","1,282","1,726","2,232",959,"1,273",776,323,453,,"4,751","1,912","2,839","3,258","1,323","1,935","1,493",589,904,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002 TPHC,,,,,,,,,,,2012 TPHC ,,,,,,,,,,,,,,,,,,,,,,,
"Table 1.6: Bahi District Council: Total Population by Five Years Age Groups, Sex and Residence",,,,,,,,,,,"Table 1.6: Bahi District Council: Total Population by Five Years Age Groups, Sex and Residence",,,,,,,,,,,,,,,,,,,,,,,
Age,Total,,,Rural,,,Urban,,,,Total,,,Rural,,,Urban,,,,,,,,,,,,,,,,,
,Total,Male,Female,Total,Male,Female,Total,Male,Female,,Total,Male,Female,Total,Male,Female,Total,Male,Female,,,,,,,,,,,,,,,
Total,"178,981","84,412","94,569","178,981","84,412","94,569",0,0,0,,"219,642","104,959","114,683","219,642","104,959","114,683",0,0,0,,,,,,,,,,,,,,,
0-4,"28,670","14,183","14,487","28,670","14,183","14,487",0,0,0,,"39,025","19,550","19,475","39,025","19,550","19,475",0,0,0,,,,,,,,,,,,,,,
